Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-12-07 17:08:00,0.293,82,-1,0,1006.56,12.0,17.0,23.0,,
2022-12-07 17:07:00,0.204,87,0,100,1005.9,8.0,14.0,20.0,,
2022-12-07 17:06:00,0.165,90,-1,99,1006.6,5.0,6.0,8.0,,
2022-12-07 17:05:00,0.168,89,-1,98,1006.2,4.0,7.0,8.0,,
2022-12-07 17:04:00,0.178,89,-1,98,1005.6,4.0,6.0,8.0,,
2022-12-07 17:03:00,0.179,81,0,92,1005.2,13.0,18.0,22.0,,
2022-12-07 17:02:00,0.188,88,-1,97,1005.6,5.0,8.0,11.0,,
2022-12-07 17:01:00,0.192,58,0,92,1006.1,36.0,49.0,62.0,,
2022-12-07 17:00:00,0.196,88,0,92,1006.3,5.0,7.0,8.0,,
2022-12-07 16:59:00,0.202,87,0,92,1007.1,3.0,4.0,5.0,,
2022-12-07 16:58:00,0.214,87,1,87,1007.1,9.0,10.0,12.0,,
2022-12-07 16:57:00,0.212,87,1,86,1007.1,3.0,4.0,5.0,,
2022-12-07 16:56:00,0.225,86,1,87,1007.3,3.0,4.0,6.0,,
2022-12-07 16:55:00,0.226,86,2,81,1007.2,3.0,4.0,5.0,,
2022-12-07 16:54:00,0.237,85,3,78,1007.2,5.0,7.0,8.0,,
2022-12-07 16:53:00,0.244,85,3,77,1007.2,5.0,7.0,8.0,,
2022-12-07 16:52:00,0.246,85,3,79,1007.2,5.0,7.0,7.0,,
2022-12-07 16:51:00,0.243,85,4,76,1007.2,5.0,7.0,8.0,,
2022-12-07 16:50:00,0.244,85,4,80,1007.2,5.0,7.0,8.0,,
2022-12-07 16:49:00,0.240,85,3,92,1007.2,6.0,8.0,9.0,,
2022-12-07 16:48:00,0.223,86,3,85,1007.2,6.0,8.0,9.0,,
2022-12-07 16:47:00,0.223,86,2,86,1007.2,7.0,9.0,10.0,,
2022-12-07 16:46:00,0.218,86,2,84,1007.3,5.0,7.0,8.0,,
2022-12-07 16:45:00,0.218,86,2,84,1007.4,6.0,7.0,8.0,,
2022-12-07 16:44:00,0.211,87,2,85,1007.2,6.0,8.0,8.0,,
2022-12-07 16:43:00,0.204,87,2,85,1007.1,4.0,6.0,7.0,,
2022-12-07 16:42:00,0.200,88,1,87,1007.2,4.0,6.0,7.0,,
2022-12-07 16:41:00,0.199,68,1,86,1007.3,26.0,29.0,30.0,,
2022-12-07 16:40:00,0.201,87,2,82,1007.3,10.0,12.0,13.0,,
2022-12-07 16:39:00,0.201,81,2,82,1007.2,14.0,16.0,17.0,,
2022-12-07 16:38:00,0.195,88,2,81,1007.2,6.0,8.0,8.0,,
2022-12-07 16:37:00,0.198,88,2,81,1007.3,5.0,6.0,7.0,,
2022-12-07 16:36:00,0.199,88,2,81,1007.2,5.0,7.0,8.0,,
2022-12-07 16:35:00,0.197,88,2,81,1007.3,3.0,4.0,5.0,,
2022-12-07 16:34:00,0.198,88,2,81,1007.2,3.0,4.0,6.0,,
2022-12-07 16:33:00,0.204,87,2,81,1007.2,3.0,4.0,6.0,,
2022-12-07 16:32:00,0.210,87,2,81,1007.2,3.0,4.0,5.0,,
2022-12-07 16:31:00,0.212,87,2,81,1007.2,3.0,4.0,5.0,,
2022-12-07 16:30:00,0.215,87,2,81,1007.2,3.0,4.0,5.0,,
2022-12-07 16:29:00,0.223,86,2,81,1007.2,3.0,4.0,5.0,,
2022-12-07 16:28:00,0.229,86,3,76,1007.1,2.0,4.0,5.0,,
2022-12-07 16:27:00,0.235,85,3,76,1007.2,3.0,5.0,6.0,,
2022-12-07 16:26:00,0.235,85,3,76,1007.2,3.0,4.0,5.0,,
2022-12-07 16:25:00,0.235,85,3,76,1007.1,2.0,4.0,5.0,,
2022-12-07 16:24:00,0.238,85,3,77,1007.3,2.0,3.0,5.0,,
2022-12-07 16:23:00,0.240,85,4,72,1007.3,3.0,4.0,5.0,,
2022-12-07 16:22:00,0.250,85,4,71,1007.2,2.0,4.0,5.0,,
2022-12-07 16:21:00,0.252,84,4,72,1007.3,3.0,5.0,6.0,,
2022-12-07 16:20:00,0.251,84,4,72,1007.2,3.0,4.0,6.0,,
2022-12-07 16:19:00,0.263,84,4,72,1007.2,3.0,4.0,5.0,,
2022-12-07 16:18:00,0.268,83,4,72,1007.1,2.0,4.0,5.0,,
2022-12-07 16:17:00,0.271,83,5,68,1007.1,4.0,5.0,6.0,,
2022-12-07 16:16:00,0.262,84,5,68,1007.2,3.0,5.0,6.0,,
2022-12-07 16:15:00,0.270,83,5,68,1007.1,3.0,5.0,6.0,,
2022-12-07 16:14:00,0.270,83,5,68,1007.1,4.0,5.0,6.0,,
2022-12-07 16:13:00,0.267,83,5,68,1007.1,3.0,5.0,6.0,,
2022-12-07 16:12:00,0.265,84,6,65,1007.2,3.0,5.0,6.0,,
2022-12-07 16:11:00,0.268,83,6,66,1007.2,3.0,4.0,5.0,,
2022-12-07 16:10:00,0.272,83,6,66,1007.1,3.0,4.0,6.0,,
2022-12-07 16:09:00,0.278,83,7,62,1007.2,3.0,5.0,5.0,,
2022-12-07 16:08:00,0.287,82,6,69,1007.2,2.0,4.0,4.0,,
2022-12-07 16:07:00,0.286,82,6,67,1007.2,3.0,4.0,5.0,,
2022-12-07 16:06:00,0.296,82,5,72,1007.2,2.0,3.0,4.0,,
2022-12-07 16:05:00,0.294,82,5,72,1007.2,9.0,11.0,12.0,52.39388439632882,13.037816039494789
2022-12-07 16:04:00,0.290,82,4,74,1007.19,9.0,11.0,12.0,,
2022-12-07 16:03:00,2.588,40,,,1007.08,3.0,5.0,7.0,,
2022-12-07 16:02:00,2.709,39,,,1007.08,3.0,4.0,5.0,,
2022-12-07 16:01:00,2.836,38,,,1006.99,1.0,2.0,3.0,,
2022-12-07 16:00:00,2.969,37,,,1006.98,1.0,2.0,3.0,,
