Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-11-04 17:39:00,0.119,79,8,91,1005.5,15.0,17.0,18.0,,
2022-11-04 17:38:00,0.120,81,8,91,1005.5,13.0,15.0,16.0,,
2022-11-04 17:37:00,0.122,85,8,91,1005.5,11.0,13.0,14.0,,
2022-11-04 17:36:00,0.130,84,8,91,1005.4,12.0,14.0,15.0,,
2022-11-04 17:35:00,0.129,85,8,91,1005.4,11.0,12.0,13.0,,
2022-11-04 17:34:00,0.128,85,8,91,1005.4,11.0,13.0,14.0,,
2022-11-04 17:33:00,0.128,84,8,91,1005.3,11.0,13.0,14.0,,
2022-11-04 17:32:00,0.135,82,8,92,1005.3,12.0,14.0,15.0,,
2022-11-04 17:31:00,0.126,84,8,91,1005.3,12.0,13.0,14.0,,
2022-11-04 17:30:00,0.122,84,8,91,1005.3,11.0,13.0,14.0,,
2022-11-04 17:29:00,0.124,85,8,91,1005.3,11.0,13.0,14.0,,
2022-11-04 17:28:00,0.121,85,8,90,1005.3,11.0,13.0,14.0,,
2022-11-04 17:27:00,0.122,85,8,91,1005.2,10.0,12.0,13.0,,
2022-11-04 17:26:00,0.118,88,8,91,1005.2,9.0,10.0,11.0,,
2022-11-04 17:25:00,0.119,87,8,91,1005.2,10.0,12.0,13.0,,
2022-11-04 17:24:00,0.118,88,8,91,1005.2,9.0,10.0,11.0,,
2022-11-04 17:23:00,0.115,88,8,91,1005.1,9.0,10.0,12.0,,
2022-11-04 17:22:00,0.124,88,8,90,1005.1,9.0,11.0,11.0,,
2022-11-04 17:21:00,0.123,90,8,91,1005.1,8.0,10.0,11.0,,
2022-11-04 17:20:00,0.127,88,8,92,1005.3,8.0,10.0,11.0,,
2022-11-04 17:19:00,0.124,88,8,91,1005.4,9.0,10.0,11.0,,
2022-11-04 17:18:00,0.125,88,8,91,1005.2,8.0,10.0,11.0,,
2022-11-04 17:17:00,0.123,90,9,85,1005.1,8.0,9.0,10.0,,
2022-11-04 17:16:00,0.126,90,9,86,1005.1,8.0,9.0,10.0,,
2022-11-04 17:15:00,0.131,88,9,87,1005.2,8.0,10.0,11.0,,
2022-11-04 17:14:00,0.129,87,9,86,1005.1,10.0,12.0,13.0,,
2022-11-04 17:13:00,0.131,87,9,86,1005.1,10.0,11.0,13.0,,
2022-11-04 17:12:00,0.136,85,9,86,1005.1,11.0,13.0,13.0,,
2022-11-04 17:11:00,0.141,85,9,87,1005.1,11.0,12.0,14.0,,
2022-11-04 17:10:00,0.144,85,9,86,1005.1,11.0,13.0,14.0,,
2022-11-04 17:09:00,0.155,84,10,83,1005.2,11.0,13.0,14.0,,
2022-11-04 17:08:00,0.157,84,10,82,1005.1,12.0,14.0,15.0,,
2022-11-04 17:07:00,0.162,84,10,82,1005.1,12.0,13.0,14.0,,
2022-11-04 17:06:00,0.177,82,10,82,1005.1,12.0,14.0,15.0,,
2022-11-04 17:05:00,0.172,84,10,82,1005.1,11.0,13.0,14.0,,
2022-11-04 17:04:00,0.167,84,10,82,1005.1,12.0,14.0,15.0,,
2022-11-04 17:03:00,0.165,84,10,82,1005.1,11.0,13.0,14.0,,
2022-11-04 17:02:00,0.168,84,10,82,1005.1,11.0,13.0,14.0,,
2022-11-04 17:01:00,0.178,84,10,82,1005.0,11.0,13.0,14.0,,
2022-11-04 17:00:00,0.175,80,11,78,1005.0,15.0,17.0,18.0,,
2022-11-04 16:59:00,0.186,77,11,78,1005.0,17.0,20.0,21.0,,
2022-11-04 16:58:00,0.178,77,11,77,1005.0,17.0,20.0,20.0,,
2022-11-04 16:57:00,0.186,77,11,78,1004.9,18.0,21.0,22.0,,
2022-11-04 16:56:00,0.192,76,11,77,1005.0,18.0,20.0,22.0,,
2022-11-04 16:55:00,0.201,77,11,78,1005.0,17.0,20.0,21.0,,
2022-11-04 16:54:00,0.201,81,11,77,1005.1,14.0,16.0,17.0,,
2022-11-04 16:53:00,0.216,78,11,77,1005.1,17.0,19.0,20.0,,
2022-11-04 16:52:00,0.244,84,11,78,1005.1,11.0,13.0,14.0,,
2022-11-04 16:51:00,0.220,86,11,77,1005.1,3.0,5.0,6.0,,
2022-11-04 16:50:00,0.213,87,11,77,1005.0,3.0,5.0,6.0,,
2022-11-04 16:49:00,0.221,86,11,78,1005.0,3.0,5.0,6.0,,
2022-11-04 16:48:00,0.226,86,11,78,1004.9,3.0,5.0,6.0,,
2022-11-04 16:47:00,0.237,85,11,78,1004.9,3.0,5.0,6.0,,
2022-11-04 16:46:00,0.245,85,11,78,1004.9,3.0,5.0,6.0,,
2022-11-04 16:45:00,0.264,84,12,73,1004.3,3.0,5.0,6.0,,
2022-11-04 16:44:00,0.271,83,12,73,1003.6,3.0,5.0,6.0,,
2022-11-04 16:43:00,0.286,82,13,69,1003.2,3.0,5.0,6.0,,
2022-11-04 16:42:00,0.297,82,13,69,1002.9,3.0,5.0,6.0,,
2022-11-04 16:41:00,0.330,80,14,66,1003.6,3.0,5.0,6.0,,
2022-11-04 16:40:00,0.406,75,15,61,1004.0,3.0,5.0,6.0,,
2022-11-04 16:39:00,0.606,68,18,52,1004.3,3.0,5.0,6.0,,
2022-11-04 16:38:00,0.853,63,19,52,1004.4,3.0,5.0,6.0,,
2022-11-04 16:37:00,0.912,62,18,62,1003.9,3.0,5.0,6.0,,
2022-11-04 16:36:00,0.982,61,18,62,1003.9,3.0,5.0,6.0,,
2022-11-04 16:35:00,1.118,59,18,64,1003.8,4.0,6.0,7.0,,
2022-11-04 16:34:00,1.335,55,18,62,1003.7,5.0,6.0,7.0,,
2022-11-04 16:33:00,2.131,43,18,64,1003.79,6.0,8.0,9.0,,
2022-11-04 16:32:00,1.881,46,18,60,1003.76,3.0,4.0,6.0,,
2022-11-04 16:31:00,1.873,46,18,60,1003.73,3.0,4.0,6.0,,
2022-11-04 16:30:00,1.865,46,18,60,1003.72,3.0,4.0,6.0,,
2022-11-04 16:29:00,1.857,46,18,60,1003.71,3.0,4.0,6.0,,
2022-11-04 16:28:00,1.848,46,18,60,1003.68,3.0,4.0,6.0,,
2022-11-04 16:27:00,1.839,46,18,59,1003.68,3.0,4.0,6.0,,
2022-11-04 16:26:00,1.830,46,18,60,1003.67,3.0,4.0,6.0,,
2022-11-04 16:25:00,1.822,47,18,59,1003.66,3.0,4.0,6.0,,
2022-11-04 16:24:00,1.815,47,18,59,1003.66,3.0,4.0,6.0,,
2022-11-04 16:23:00,1.808,47,18,60,1003.66,3.0,4.0,6.0,,
2022-11-04 16:22:00,1.804,47,18,60,1003.64,3.0,4.0,6.0,,
2022-11-04 16:21:00,1.802,47,18,60,1003.65,3.0,4.0,6.0,,
2022-11-04 16:20:00,1.804,47,18,60,1003.62,3.0,4.0,6.0,,
2022-11-04 16:18:00,1.813,47,18,60,1003.62,3.0,4.0,6.0,,
2022-11-04 16:17:00,1.833,46,18,59,1003.61,2.0,4.0,5.0,,
2022-11-04 16:16:00,1.850,46,18,59,1003.59,2.0,3.0,6.0,,
2022-11-04 16:15:00,1.843,46,18,59,1003.57,3.0,4.0,6.0,,
2022-11-04 16:14:00,1.834,46,18,59,1003.56,3.0,4.0,6.0,,
2022-11-04 16:13:00,1.825,47,18,59,1003.55,3.0,4.0,6.0,,
2022-11-04 16:12:00,1.816,47,18,59,1003.55,3.0,4.0,6.0,,
2022-11-04 16:11:00,1.807,47,18,59,1003.56,3.0,4.0,6.0,,
2022-11-04 16:10:00,1.798,47,18,59,1003.56,3.0,4.0,6.0,,
2022-11-04 16:09:00,1.789,47,18,59,1003.55,3.0,4.0,6.0,,
2022-11-04 16:08:00,1.781,47,18,59,1003.54,3.0,4.0,6.0,,
2022-11-04 16:07:00,1.773,47,18,59,1003.54,3.0,4.0,6.0,,
2022-11-04 16:06:00,1.766,48,18,59,1003.55,3.0,4.0,6.0,,
2022-11-04 16:05:00,1.761,48,18,59,1003.54,3.0,4.0,6.0,,
2022-11-04 16:04:00,1.759,48,18,59,1003.53,3.0,4.0,6.0,,
2022-11-04 16:03:00,1.761,48,18,59,1003.56,3.0,4.0,6.0,,
2022-11-04 16:02:00,1.770,47,18,59,1003.52,3.0,4.0,6.0,,
2022-11-04 16:01:00,1.790,47,18,59,1003.51,3.0,4.0,5.0,,
2022-11-04 16:00:00,1.810,47,18,58,1003.49,2.0,3.0,4.0,,
2022-11-04 15:59:00,1.804,47,18,58,1003.49,3.0,4.0,5.0,,
