Date,atmotube_VOC[ppm],atmotube_AQS,atmotube_Temperature[˚C],atmotube_Humidity[%],atmotube_Pressure[hPa],atmotube_PM1[µg/m³],atmotube_PM2.5[µg/m³],atmotube_PM10[µg/m³],atmotube_Latitude,atmotube_Longitude
2022-10-25 17:23:00,0.096,94,13,85,1014.1,3.0,4.0,5.0,,
2022-10-25 17:22:00,0.096,94,13,84,1014.0,3.0,4.0,6.0,,
2022-10-25 17:21:00,0.104,93,14,80,1014.1,3.0,4.0,5.0,,
2022-10-25 17:20:00,0.108,93,14,80,1014.1,3.0,4.0,5.0,,
2022-10-25 17:19:00,0.114,93,14,79,1014.1,3.0,4.0,5.0,,
2022-10-25 17:18:00,0.116,93,14,79,1014.1,3.0,4.0,5.0,,
2022-10-25 17:17:00,0.124,92,14,78,1014.0,3.0,4.0,5.0,,
2022-10-25 17:16:00,0.125,92,14,79,1014.0,3.0,4.0,5.0,,
2022-10-25 17:15:00,0.119,92,14,77,1014.0,3.0,4.0,5.0,,
2022-10-25 17:14:00,0.122,92,14,78,1014.0,2.0,4.0,5.0,,
2022-10-25 17:13:00,0.113,93,14,77,1013.9,3.0,4.0,5.0,,
2022-10-25 17:12:00,0.111,93,14,77,1014.0,3.0,4.0,5.0,,
2022-10-25 17:11:00,0.105,93,14,77,1014.0,3.0,4.0,6.0,,
2022-10-25 17:10:00,0.119,92,14,78,1014.0,3.0,4.0,5.0,,
2022-10-25 17:09:00,0.114,93,14,77,1013.9,3.0,4.0,5.0,,
2022-10-25 17:08:00,0.112,93,15,73,1014.0,3.0,4.0,5.0,,
2022-10-25 17:07:00,0.112,93,15,73,1014.0,3.0,4.0,5.0,,
2022-10-25 17:06:00,0.116,93,15,73,1014.0,3.0,4.0,5.0,,
2022-10-25 17:05:00,0.124,92,15,74,1014.0,2.0,4.0,5.0,,
2022-10-25 17:04:00,0.129,92,15,75,1014.1,3.0,4.0,5.0,,
2022-10-25 17:03:00,0.131,92,15,74,1014.1,2.0,3.0,4.0,,
2022-10-25 17:02:00,0.129,92,15,75,1014.0,3.0,4.0,5.0,,
2022-10-25 17:01:00,0.143,91,15,76,1013.9,3.0,5.0,6.0,,
2022-10-25 17:00:00,0.143,91,15,76,1013.9,4.0,5.0,6.0,,
2022-10-25 16:59:00,0.138,91,15,74,1013.9,3.0,5.0,6.0,,
2022-10-25 16:58:00,0.136,91,15,75,1013.9,3.0,4.0,5.0,,
2022-10-25 16:57:00,0.135,91,15,75,1013.9,3.0,4.0,5.0,,
2022-10-25 16:56:00,0.126,92,15,75,1014.0,3.0,4.0,5.0,,
