LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,,,,,13.47944688796997,16.459233283996582,19.205636024475094,87.57663345336914,104.8497543334961,107.2623176574707,107.56811141967772,107.62164688110352,13.0,28.0,39.0,1680.0,538.0,170.0,36.0,2.0,1.0,14.0,17.5,23.5,1738.5,471.0,99.5,11.0,5.0,0.0,0.04748046875,73.2703706251176,1009.3805671553766,704.0,800.0,800.0
1,,,,,14.147012710571287,17.208703994750973,20.009334564208984,92.0859603881836,110.1178207397461,112.58382797241212,112.89633560180664,112.95137786865234,13.0,29.0,39.5,1720.5,552.5,169.0,35.0,2.0,1.5,14.0,17.5,26.5,1701.0,465.5,113.5,16.0,7.0,2.0,0.1079296875,73.29736628361118,1009.3853685873316,736.0,1152.0,576.0
2,52.39284,13.036035,27.6,2022-12-12T16:00:54.000Z,16.927811622619632,19.87718105316162,22.338918685913086,112.05855178833008,132.58329772949222,134.81583404541016,135.09803771972656,135.15149688720706,13.0,30.0,40.0,1761.0,567.0,168.0,34.0,2.0,2.0,17.5,23.0,32.5,2128.5,618.5,121.0,10.0,7.0,4.0,0.14083984375,73.35015420779439,1009.3897321168048,960.0,1312.0,1824.0
3,52.392845,13.036031667,,2022-12-12T16:01:41.000Z,17.63332748413086,20.664448738098145,23.17751407623291,116.83682632446288,138.15638732910156,140.44056701660156,140.7292404174805,140.78421783447266,13.0,31.0,39.0,1797.0,582.0,174.0,31.0,1.0,1.0,18.0,23.5,28.0,2089.5,621.5,121.5,5.5,4.0,3.0,0.20578125,73.31606058076879,1009.3853912787235,800.0,1312.0,256.0
4,52.392845,13.036031667,28.6,2022-12-12T16:01:42.000Z,20.980557441711426,23.84456443786621,25.9099760055542,140.96135711669922,165.23461151123047,167.20565032958984,167.4537582397461,167.50626373291016,14.0,31.0,39.0,1819.5,588.5,175.0,30.0,1.5,1.0,18.0,32.0,37.5,2335.5,679.0,182.0,27.0,6.0,0.0,0.15382812499999998,73.78394470532007,1009.3959123560384,608.0,992.0,10816.0
5,52.392845,13.036031667,28.6,2022-12-12T16:01:45.000Z,20.80428504943848,23.55900573730469,25.500925064086914,140.00040435791016,163.9442367553711,165.81301879882812,166.048095703125,166.0986785888672,15.0,31.0,39.0,1842.0,595.0,176.0,29.0,2.0,1.0,15.5,28.0,32.0,2124.0,620.0,168.5,20.0,5.0,0.0,0.15451171875,73.71248665280321,1009.4012402268455,672.0,1088.0,3808.0
6,52.392845,13.036031667,28.6,2022-12-12T16:01:48.000Z,20.833709716796875,23.55192279815674,25.446263313293453,140.3043212890625,164.22251892089844,166.05331420898438,166.2835235595703,166.33348846435547,15.0,31.0,39.0,1887.0,608.0,180.0,28.0,2.0,1.0,12.5,24.5,26.0,1905.0,544.5,158.5,9.0,2.0,0.0,0.18439453125,73.52771541008136,1009.4181740016803,512.0,864.0,896.0
7,52.392855,13.03604,28.3,2022-12-12T16:01:52.000Z,21.19091510772705,23.936081886291504,25.8384313583374,142.76142120361328,167.06077575683594,168.90318298339844,169.13482666015625,169.185302734375,15.0,30.5,38.0,1893.0,609.5,176.0,25.5,2.0,1.0,12.0,24.5,26.0,1845.0,524.0,155.5,6.0,2.0,0.0,0.2190625,73.3014974413585,1009.4035684409642,608.0,960.0,896.0
8,52.39287,13.036068333,26.1,2022-12-12T16:01:56.000Z,21.66545295715332,24.44749641418457,26.36180019378662,146.02281951904297,170.83008575439453,172.68902587890625,172.92269897460938,172.97386169433594,15.0,30.0,37.0,1899.0,611.0,172.0,23.0,2.0,1.0,16.0,36.0,43.0,2446.5,694.5,228.0,23.5,9.0,1.0,0.25509765625,73.07243892093514,1009.3987929625173,672.0,896.0,1248.0
9,52.392893333,13.036108333,27.5,2022-12-12T16:02:00.000Z,24.191725730896,27.29737949371338,29.433935165405273,163.05167388916016,190.75042724609372,192.8253326416016,193.08614349365237,193.1432647705078,16.0,27.0,34.0,1884.0,610.0,160.0,17.0,2.0,1.0,20.5,41.5,56.0,2908.5,833.5,271.0,40.5,15.5,3.0,0.29611328125,72.85071329292222,1009.3841285080366,640.0,1024.0,1728.0
10,52.392893333,13.036108333,27.5,2022-12-12T16:02:03.000Z,26.506251335144047,29.967683792114254,32.38168430328369,178.49781036376953,208.9329605102539,211.26536560058597,211.5586624145508,211.6222686767578,15.5,27.0,34.0,1867.5,603.5,161.0,16.0,2.5,1.5,25.5,47.0,71.0,3499.5,1021.5,322.5,59.0,29.0,8.0,0.32169921875,72.64994480912931,1009.3703631327679,576.0,864.0,512.0
11,52.392893333,13.036108333,27.5,2022-12-12T16:02:06.000Z,27.95136833190918,31.707778930664066,34.385730743408196,187.95096588134768,220.20191192626956,222.76834106445312,223.09127807617188,223.1602020263672,15.0,27.0,34.0,1851.0,597.0,162.0,15.0,3.0,2.0,26.5,44.0,66.5,3255.0,971.5,260.5,55.5,24.0,7.0,0.32775390625,72.50836457289174,1009.3722479033377,288.0,864.0,192.0
12,52.393,13.036246667,31.3,2022-12-12T16:02:11.000Z,28.387859344482425,32.288684844970696,35.115249633789055,190.6612701416016,223.5421142578125,226.2348480224609,226.5738525390625,226.6453399658203,16.0,30.0,36.0,1923.0,627.0,175.0,15.0,3.0,2.0,25.0,42.0,53.5,3093.0,911.0,213.5,40.5,9.5,2.0,0.34318359375,72.38743592130909,1009.3770767685294,512.0,896.0,640.0
13,52.393011666999996,13.036283333,28.4,2022-12-12T16:02:15.000Z,28.468892097473145,32.443470001220696,35.3560848236084,191.04138946533203,224.1082992553711,226.871696472168,227.2197036743164,227.29249572753903,16.0,29.0,35.0,1888.5,616.5,174.0,13.0,3.0,2.0,23.0,42.0,50.5,3087.0,892.5,221.5,38.5,6.0,0.0,0.3602734375,72.28292698935519,1009.3791560272217,640.0,832.0,1568.0
14,52.393013333,13.036283333,30.2,2022-12-12T16:02:18.000Z,28.296205520629886,32.194061279296875,35.02349090576172,190.02047729492188,222.80931854248047,225.50305938720703,225.8422088623047,225.9136199951172,16.0,28.0,34.0,1854.0,606.0,173.0,11.0,3.0,2.0,23.5,42.0,52.5,3159.0,914.5,227.5,40.5,9.0,0.0,0.39220703125,72.1738524884692,1009.3817268361933,448.0,896.0,640.0
15,52.393013333,13.036283333,30.2,2022-12-12T16:02:21.000Z,27.92171573638916,31.69735050201416,34.4013614654541,187.69076538085938,219.9416656494141,222.5287170410156,222.8542938232422,222.92354583740237,16.0,30.0,36.0,1866.0,610.0,181.0,13.0,4.0,3.0,23.5,41.5,48.5,3210.0,929.5,236.5,28.0,7.0,0.0,0.40626953125,72.0529416391182,1009.3906486186224,480.0,928.0,0.0
16,52.393013333,13.036283333,30.2,2022-12-12T16:02:24.000Z,27.345447540283203,30.97848892211914,33.546152114868164,183.98655700683597,215.4766311645508,217.9452438354492,218.25579833984372,218.32249450683597,15.5,30.5,36.0,1857.0,606.0,184.5,14.0,4.0,2.5,21.5,38.5,44.5,3102.0,888.0,232.5,23.0,7.0,0.0,0.3790234375,71.91408103102242,1009.3858622288292,576.0,896.0,1312.0
17,52.392995,13.036246667,32.6,2022-12-12T16:02:28.000Z,26.948495864868164,30.508030891418453,33.012556076049805,181.3702163696289,212.3725814819336,214.78446197509768,215.0878448486328,215.15321350097656,15.0,31.0,36.0,1848.0,602.0,188.0,15.0,4.0,2.0,20.0,34.0,39.5,2820.0,815.5,198.5,17.0,8.0,0.0,0.34494140625,71.8421612827313,1009.3818802758037,576.0,896.0,1088.0
18,52.392973333,13.036208333,33.5,2022-12-12T16:02:32.000Z,26.693538665771484,30.23519992828369,32.735706329345696,179.61286163330078,210.3451919555664,212.75015258789062,213.0526885986328,213.1177215576172,15.0,30.0,36.0,1842.0,594.0,190.0,16.0,5.0,2.0,20.0,34.5,38.0,2785.5,805.0,186.0,17.5,6.0,0.0,0.3114453125,71.80256933686323,1009.3879642527464,704.0,1120.0,1088.0
19,52.392953333,13.03616,31.5,2022-12-12T16:02:36.000Z,26.80082035064697,30.370777130126953,32.898862838745124,180.2978744506836,211.1744155883789,213.6031951904297,213.90875244140625,213.9742889404297,15.0,30.0,37.5,1816.5,586.5,189.0,19.0,6.0,3.5,22.5,41.0,48.5,3147.0,888.5,235.5,23.5,8.0,2.0,0.28166015625,71.77633700230255,1009.3876112726234,576.0,1024.0,544.0
