LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,,,,,29.7205114364624,39.88508224487305,50.41714286804199,183.6744155883789,227.05221557617188,235.9865493774414,237.12247467041016,237.30298614501956,36.0,60.0,77.5,4294.5,1401.5,315.0,56.0,9.0,2.0,31.0,50.0,63.0,4875.0,1416.5,364.5,35.5,9.0,5.0,2.29953125,55.084241230207326,1006.7078043881233,3232.0,5056.0,7840.0
1,,,,,30.18767070770264,35.45719528198242,39.85953140258789,199.8101959228516,236.426872253418,240.41809844970703,240.9226303100586,241.0181350708008,36.0,61.5,81.5,4396.5,1434.5,318.0,58.0,9.0,2.0,30.0,49.0,61.5,4782.0,1376.5,370.0,34.0,9.0,3.0,2.31330078125,55.17756284930819,1006.713585544559,2912.0,4672.0,1216.0
2,,,,2022-12-15T15:28:47.000Z,32.585081100463874,36.75383377075195,39.61370658874512,219.66049194335938,256.94812774658203,259.72842407226557,260.077880859375,260.15457153320307,36.0,62.5,86.0,4434.0,1447.5,331.0,60.0,12.5,3.0,31.0,48.0,60.0,4921.5,1406.0,336.0,29.0,8.0,2.0,2.15177734375,55.83135439046386,1006.7264350430285,3040.0,4000.0,800.0
3,,,,2022-12-15T15:28:51.000Z,32.920061111450195,36.95294380187988,39.61963081359863,222.3870391845703,259.7948608398437,262.4239959716797,262.7540740966797,262.82846069335943,36.5,63.0,85.5,4491.0,1463.0,348.0,57.0,13.5,3.0,32.0,52.0,65.5,5121.0,1487.5,363.5,46.5,10.0,4.0,2.034296875,55.985391470440284,1006.7376365186724,2880.0,4384.0,480.0
4,,,,2022-12-15T15:28:54.000Z,33.07305908203125,37.001970291137695,39.52823066711426,223.7422409057617,261.14321899414057,263.66116333007807,263.9770355224609,264.0496063232422,37.0,64.0,86.0,4569.0,1486.0,351.0,56.0,13.0,3.0,31.5,52.5,69.0,5164.5,1497.0,375.0,53.0,11.0,4.0,1.97140625,56.07690399396592,1006.7333042936637,3808.0,6432.0,832.0
5,52.392111666999995,13.036325,-30.6,2022-12-15T15:28:57.000Z,33.375560760498054,37.20569229125977,39.58728408813477,226.14179229736328,263.6864776611328,266.0919952392578,266.3934326171875,266.4643402099609,37.0,66.0,86.0,4620.0,1507.0,363.0,54.0,15.0,4.0,31.5,52.5,69.0,5088.0,1460.5,363.5,54.0,14.0,4.0,1.9309765625,56.13511794282822,1006.7018727282386,3136.0,5120.0,6080.0
6,52.392305,13.036543333,10.6,2022-12-15T15:29:01.000Z,33.435415267944336,37.09644317626953,39.26313209533691,227.00860595703125,264.36151123046875,266.59434509277344,266.8737335205078,266.9416961669922,36.5,65.5,83.5,4593.0,1498.0,356.0,50.0,13.5,4.0,31.0,52.5,67.5,4968.0,1422.0,367.0,43.0,13.0,2.0,1.87130859375,56.19426977112123,1006.6844019878968,2688.0,4064.0,14720.0
7,52.392305,13.036543333,10.6,2022-12-15T15:29:04.000Z,33.521072387695305,37.06974983215332,39.09039115905762,227.9092254638672,265.1785888671875,267.2947235107422,267.55918884277344,267.625228881836,36.0,65.0,81.0,4566.0,1489.0,349.0,46.0,12.0,4.0,30.0,49.5,63.0,4962.0,1388.5,364.0,36.0,10.0,0.0,1.81740234375,56.30771983974525,1006.6706824899063,3168.0,5312.0,6720.0
8,52.392316666999996,13.036563333,23.4,2022-12-15T15:29:08.000Z,33.524913787841804,36.93413162231445,38.78082084655762,228.30188751220703,265.36959838867193,267.34532165527344,267.5918426513672,267.65545654296875,38.0,65.0,81.0,4620.0,1508.0,347.0,42.0,12.0,3.0,31.0,50.0,63.5,5019.0,1400.0,341.0,40.5,9.0,2.0,1.77853515625,56.455664665122605,1006.657644222503,2272.0,3520.0,11264.0
9,52.392363333,13.036615,28.4,2022-12-15T15:29:12.000Z,33.023332595825195,36.27955627441406,37.97161102294922,225.1534881591797,261.51641845703125,263.3600006103516,263.5897674560547,263.650634765625,38.0,64.0,81.0,4624.5,1510.0,348.0,42.0,14.0,3.5,31.0,50.5,62.5,4824.0,1358.5,299.0,45.0,6.0,2.0,1.7262890624999998,56.62019964134338,1006.6403145836888,2240.0,3232.0,3328.0
10,52.392365000000005,13.036618333,28.2,2022-12-15T15:29:15.000Z,32.37760734558105,35.50002861022949,37.07165145874024,220.93475341796875,256.48339080810547,258.22039794921875,258.43663024902344,258.4951171875,38.0,63.0,81.0,4629.0,1512.0,349.0,42.0,16.0,4.0,30.0,49.0,61.0,4674.0,1343.0,290.5,43.0,7.0,2.0,1.67169921875,56.73083177710248,1006.6458724612004,2240.0,3296.0,2336.0
11,52.392368333,13.036655,29.7,2022-12-15T15:29:19.000Z,31.76009178161621,34.74727249145508,36.19466590881348,216.91939544677732,251.67860412597656,253.3063735961914,253.50875854492188,253.56480407714844,38.5,64.0,82.5,4668.0,1514.0,337.0,46.0,17.0,4.0,30.0,47.5,59.5,4761.0,1347.5,272.5,38.5,10.0,1.0,1.61564453125,56.79055120353857,1006.6512522530917,2560.0,4320.0,1984.0
12,52.392355,13.036688332999999,29.5,2022-12-15T15:29:22.000Z,31.307372093200684,34.18809127807617,35.5352840423584,213.99478149414062,248.16444396972656,249.70476531982425,249.8960723876953,249.95021057128903,39.0,65.5,86.0,4690.5,1518.0,343.0,48.0,18.5,4.5,30.0,45.5,57.5,4632.0,1311.0,280.5,29.5,10.0,0.0,1.5633007812500002,56.799871553499784,1006.660811453792,2208.0,3776.0,1216.0
