LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,CO,NH3,NO2
0,,,,,13.337024211883545,21.081127166748047,29.77119731903076,74.08148002624513,98.2336311340332,105.44376754760742,106.3623275756836,106.49863815307616,15.0,25.0,27.0,2220.0,727.0,177.0,8.0,4.0,0.0,16.0,25.5,28.0,2781.0,802.5,199.5,12.0,3.0,0.0,512.0,832.0,1248.0
1,,,,,13.615575790405273,17.344013214111328,21.01303768157959,86.57772445678711,105.08331680297852,108.2428855895996,108.6440658569336,108.71062850952148,14.5,24.5,26.5,2182.5,713.5,174.5,6.5,4.0,0.0,16.5,25.5,29.0,2871.0,833.5,202.0,11.0,4.0,0.0,576.0,800.0,448.0
2,,,,,15.36526107788086,17.877153396606445,19.90588092803955,102.14786529541016,120.53475570678712,122.3950424194336,122.62997055053712,122.67562484741212,14.0,24.0,26.0,2145.0,700.0,172.0,5.0,4.0,0.0,17.0,27.5,29.5,2878.5,851.5,212.5,12.0,3.0,0.0,608.0,800.0,448.0
3,52.394898333,13.04069,37.7,2022-12-09T15:27:19.000Z,15.70977258682251,18.27232551574707,20.339491844177246,104.45299530029295,123.24382019042969,125.14012145996094,125.37959671020508,125.4261703491211,15.0,25.0,27.0,2187.0,714.0,185.0,6.0,4.0,0.0,15.5,25.5,26.5,2671.5,787.5,207.5,8.0,2.0,0.0,544.0,864.0,416.0
4,52.394898333,13.04069,37.7,2022-12-09T15:27:20.000Z,16.388428688049313,18.57880687713623,20.13390064239502,110.23095703125,129.1225357055664,130.61512756347656,130.80291748046878,130.8431167602539,14.5,25.0,27.0,2161.5,705.5,186.0,6.0,4.0,0.0,16.0,21.5,21.5,2620.5,747.0,173.0,0.0,0.0,0.0,576.0,736.0,512.0
5,52.394898333,13.04069,37.7,2022-12-09T15:27:23.000Z,16.427470207214355,18.587066650390625,20.10102939605713,110.58789443969728,129.4714584350586,130.9314193725586,131.11503601074222,131.15470886230472,14.0,25.0,27.0,2136.0,697.0,187.0,6.0,4.0,0.0,15.0,21.5,22.5,2623.5,735.5,176.0,3.0,2.0,0.0,544.0,672.0,832.0
6,52.394881667,13.040696667,38.0,2022-12-09T15:27:27.000Z,16.588373184204098,18.71985912322998,20.187294006347656,111.80021667480469,130.79619598388672,132.22090911865234,132.39999389648438,132.43919372558594,14.0,25.0,27.0,2142.0,697.0,185.0,9.0,4.0,0.0,16.0,23.0,25.5,2719.5,773.0,187.0,5.0,3.0,0.0,512.0,704.0,64.0
7,52.394881667,13.040696667,38.0,2022-12-09T15:27:30.000Z,16.587298393249508,18.69938468933105,20.14274311065674,111.84344482421876,130.8098373413086,132.2150802612305,132.39169311523438,132.43055725097656,14.0,25.5,27.5,2161.5,702.5,187.0,9.0,4.0,0.0,16.0,25.5,30.0,2709.0,792.0,197.0,12.0,6.0,0.0,640.0,672.0,4928.0
8,52.394881667,13.040696667,38.0,2022-12-09T15:27:33.000Z,16.436959266662598,18.525139808654785,19.94948101043701,110.84224700927734,129.6297378540039,131.01744842529294,131.19183349609378,131.23026275634766,14.0,26.0,28.0,2181.0,708.0,189.0,9.0,4.0,0.0,16.0,27.5,33.0,2743.5,803.5,215.0,20.5,9.0,0.0,512.0,704.0,192.0
9,52.394891666999996,13.040656667,40.6,2022-12-09T15:27:37.000Z,16.397846221923828,18.48174476623535,19.903553009033203,110.5766944885254,129.32047271728516,130.7055740356445,130.879638671875,130.9179916381836,14.0,25.0,27.0,2160.0,702.0,180.0,9.0,4.0,0.0,16.0,28.5,33.5,2742.0,798.5,218.5,25.0,7.0,0.0,640.0,768.0,864.0
