LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,,,,,8.071752548217772,10.27131700515747,12.433013439178467,51.35431480407715,62.30915832519531,64.17141914367676,64.40786552429199,64.44713973999022,6.0,9.0,10.0,1029.0,329.0,52.0,7.0,2.0,0.0,5.0,6.5,6.5,934.5,277.5,44.5,0.0,0.0,0.0,16.044941406249997,55.99300831157821,1018.3756425690417,768.0,832.0,416.0
1,,,,,7.761146306991577,10.535705089569092,13.435731410980225,47.64925384521485,59.1538257598877,61.60780906677246,61.919883728027344,61.96910858154297,6.0,9.0,10.0,1066.5,340.5,52.0,7.0,2.0,0.0,6.0,7.0,8.5,1056.0,311.0,44.0,3.0,1.0,1.0,16.035078125,55.40577552137522,1018.381003023178,736.0,864.0,288.0
2,,,,2022-11-02T15:34:01.000Z,6.289945602416992,7.223621129989624,7.936295986175537,42.06333541870117,49.45093154907226,50.11732864379883,50.20135116577149,50.21839332580566,6.0,9.0,10.0,1104.0,352.0,52.0,7.0,2.0,0.0,7.0,8.0,10.0,1225.5,366.5,38.5,4.0,2.0,2.0,15.89708984375,54.7730919134725,1018.3818599174028,672.0,832.0,2752.0
3,,,,2022-11-02T15:34:04.000Z,5.95531153678894,6.770587682723999,7.359751462936401,40.00564002990723,46.899009704589844,47.46083450317383,47.53155708312988,47.54650115966797,7.0,9.0,9.0,1122.0,358.0,50.0,2.0,1.0,0.0,6.0,7.0,7.5,1171.5,351.5,42.0,1.0,1.0,1.0,15.81408203125,54.66961469901961,1018.3744684572957,672.0,672.0,768.0
4,,,,2022-11-02T15:34:07.000Z,4.328569889068604,4.924229860305786,5.356300115585327,29.069695472717285,34.08462142944336,34.49608039855957,34.547883987426765,34.55879783630371,7.0,9.0,9.0,1137.0,363.0,47.0,2.0,1.0,0.0,3.5,4.5,5.0,867.0,237.5,23.0,1.0,1.0,0.0,15.50890625,55.61258454710687,1018.3632751365747,608.0,832.0,1056.0
5,,,,2022-11-02T15:35:00.000Z,4.43448543548584,5.04718828201294,5.492903709411621,29.77453136444092,34.91580581665039,35.33981132507324,35.39319610595703,35.40442276000977,7.0,9.0,9.0,1152.0,368.0,44.0,2.0,1.0,0.0,3.5,4.5,5.5,847.5,239.5,30.0,2.0,2.0,0.0,15.51173828125,55.81545042266115,1018.3696477950066,640.0,896.0,384.0
6,,,,2022-11-02T15:35:03.000Z,4.378127098083496,4.985397815704347,5.428380966186523,29.389951705932614,34.469350814819336,34.890336990356445,34.943347930908196,34.954469680786126,7.0,9.0,10.0,1176.0,374.0,48.0,3.0,2.0,0.0,4.5,6.0,7.5,895.5,255.5,40.0,3.0,3.0,1.0,15.61330078125,55.72245217884036,1018.373706806096,576.0,800.0,480.0
7,,,,2022-11-02T15:35:07.000Z,4.335801839828491,4.939007759094238,5.379956007003784,29.10109615325928,34.134048461914055,34.55278205871582,34.60551071166992,34.61655807495117,6.5,9.0,10.0,1179.0,376.0,51.0,3.0,2.0,0.0,5.0,6.0,8.5,954.0,271.0,41.0,4.0,4.0,2.0,15.68322265625,55.451146014945714,1018.3736617799253,768.0,992.0,256.0
8,,,,2022-11-02T15:35:10.000Z,4.310572862625122,4.91062593460083,5.349453926086426,28.93082141876221,33.93501663208008,34.35167121887207,34.404142379760735,34.41513061523437,6.0,9.0,10.0,1182.0,378.0,54.0,3.0,2.0,0.0,6.0,7.0,9.5,1075.5,303.5,44.0,4.0,4.0,2.0,15.72052734375,55.160487178511545,1018.3737616521332,800.0,832.0,352.0
9,,,,2022-11-02T15:35:14.000Z,4.311639070510863,4.910531759262085,5.347839832305908,28.94140625,33.94491195678711,34.360355377197266,34.412670135498054,34.42363929748535,6.0,9.0,10.0,1158.0,370.0,56.0,3.0,2.0,0.0,6.5,7.5,10.5,1095.0,310.0,46.5,4.0,4.0,3.0,15.69875,54.831803808714284,1018.3810477115962,864.0,832.0,480.0
10,,,,2022-11-02T15:35:18.000Z,4.301647663116455,4.896538734436035,5.329577684402466,28.88119411468506,33.8692569732666,34.28110885620117,34.33296585083008,34.34386444091797,6.0,9.0,10.0,1152.0,370.0,55.0,2.5,2.0,0.0,7.0,7.5,10.5,1119.0,319.5,48.0,4.0,4.0,4.0,15.639765625,54.5237823444686,1018.4067414018477,800.0,832.0,1088.0
11,,,,2022-11-02T15:35:21.000Z,4.288503646850587,4.880352258682251,5.3105430603027335,28.796156883239746,33.767173767089844,34.17653274536133,34.22807502746582,34.23891830444336,6.0,9.0,10.0,1146.0,370.0,54.0,2.0,2.0,0.0,6.5,7.0,11.0,1105.5,315.0,40.0,5.0,5.0,5.0,15.59455078125,54.59551780930339,1018.4235455167267,800.0,928.0,1536.0
12,,,,2022-11-02T15:35:25.000Z,4.354941129684448,4.953204393386841,5.386629104614258,29.24948215484619,34.293455123901374,34.70639038085937,34.75837516784668,34.769336700439446,5.0,8.0,9.0,1128.0,364.0,52.0,2.0,2.0,0.0,6.0,7.0,11.0,1047.0,302.0,41.0,6.0,4.0,4.0,15.59708984375,55.04858949216583,1018.4419388767053,928.0,992.0,2336.0
13,,,,2022-11-02T15:35:28.000Z,4.263036012649536,4.844801425933838,5.2642576694488525,28.64236259460449,33.574188232421875,33.97451400756836,34.024906158447266,34.03557014465332,5.5,8.5,9.5,1173.0,378.5,55.0,2.0,2.0,0.0,5.0,6.0,10.0,975.0,286.0,40.0,6.0,4.0,4.0,15.6032421875,55.13318647571327,1018.4546436034414,864.0,1024.0,384.0
14,,,,2022-11-02T15:35:32.000Z,4.133992671966554,4.690061092376709,5.086747884750366,27.79654598236084,32.567176818847656,32.947250366210945,32.99507713317871,33.00527572631836,7.0,10.0,11.0,1218.0,393.0,58.0,2.0,2.0,0.0,5.0,6.0,10.0,981.0,295.5,37.5,7.0,5.0,3.0,15.5989453125,55.1077930193826,1018.4608672066499,864.0,768.0,160.0
15,,,,2022-11-02T15:35:35.000Z,4.147224426269531,4.6981518268585205,5.087488174438477,27.90365505218506,32.67936515808105,33.05369186401367,33.100786209106445,33.110898971557624,7.0,9.5,10.5,1212.0,389.0,62.0,2.5,2.0,0.0,5.0,6.0,9.5,988.5,290.5,45.5,7.0,4.0,2.0,15.59171875,55.212501046112244,1018.4639011653943,864.0,896.0,800.0
16,,,,2022-11-02T15:35:39.000Z,4.249588489532472,4.804401397705078,5.191253185272217,28.617847442626953,33.497127532958984,33.87093162536621,33.917936325073235,33.928133010864265,6.0,10.5,12.0,1173.0,378.0,70.0,6.5,3.0,1.0,5.0,7.0,9.0,984.0,293.0,55.0,6.0,2.0,0.0,15.595234375,55.22226816394834,1018.4705652200954,928.0,928.0,352.0
17,,,,2022-11-02T15:35:42.000Z,4.265900611877441,4.815857172012329,5.195491313934326,28.746007919311523,33.633729934692376,34.001941680908196,34.048233032226555,34.0583438873291,7.0,11.5,12.5,1234.5,399.5,72.0,9.5,2.0,1.0,5.0,6.0,9.0,961.5,278.0,56.5,5.0,3.0,1.0,15.60138671875,55.19197399091962,1018.4765958373076,704.0,928.0,160.0
