LogID,lat,lon,alt,time,SPS_PM1,SPS_PM2.5,SPS_PM10,SPS_nc0.5,SPS_nc1,SPS_nc2.5,SPS_nc4,SPS_nc10,5003_PM1,5003_PM2.5,5003_PM10,5003_nc0.3,5003_nc0.5,5003_nc1,5003_nc2.5,5003_nc5,5003_nc10,7003_PM1,7003_PM2.5,7003_PM10,7003_nc0.3,7003_nc0.5,7003_nc1,7003_nc2.5,7003_nc5,7003_nc10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,n/a,n/a,n/a,n/a,2.2419486045837402,3.773650884628296,5.520792365074158,11.85044240951538,16.248955726623535,17.69220733642578,17.876148223876953,17.903056144714355,7.5,9.0,10.0,1182.0,379.0,49.0,2.5,1.5,1.5,6.0,7.0,9.0,1147.5,326.0,44.5,4.0,2.0,0.0,18.75158203125,72.04888243560492,1014.0549695970928,1344.0,2272.0,416.0
1,n/a,n/a,n/a,n/a,2.4746965169906616,2.9532400369644165,3.372121810913086,16.25780725479126,19.32809829711914,19.702116012573242,19.749455451965332,19.758094787597656,8.0,9.0,10.0,1206.0,387.0,46.0,2.0,1.0,1.0,6.0,7.0,9.0,1126.5,325.5,36.0,5.0,3.0,0.0,18.8110546875,71.65246027955575,1014.0622706552695,1760.0,2560.0,352.0
2,n/a,n/a,n/a,2022-10-25T14:37:08.000Z,3.763308525085449,3.979555368423462,3.979555368423462,26.06409454345703,29.980002403259277,30.034385681152344,30.040682792663574,30.04492950439453,8.0,9.0,10.0,1212.0,389.0,40.0,2.0,1.0,1.0,6.0,7.0,9.5,1177.5,327.0,39.0,8.0,4.0,0.0,18.824335937500003,71.32022198650495,1014.0656758075759,1888.0,3136.0,608.0
3,52.394928333,13.040795,60.8,2022-10-25T14:38:02.000Z,4.061126351356506,4.2944865226745605,4.2944865226745605,28.12673568725586,32.352538108825684,32.41122531890869,32.41801929473877,32.42260265350342,7.5,8.5,9.5,1159.5,371.5,37.0,1.5,1.0,1.0,5.0,6.0,8.0,1089.0,315.0,30.5,6.0,2.0,0.0,18.86056640625,70.95841405199931,1014.062395513303,1536.0,2624.0,320.0
4,52.394926667,13.040793333,61.7,2022-10-25T14:38:03.000Z,4.045478820800781,4.277939796447754,4.277939796447754,28.01836395263672,32.227882385253906,32.28634452819824,32.29311180114746,32.297677993774414,7.0,8.0,9.0,1107.0,354.0,34.0,1.0,1.0,1.0,5.0,5.5,5.5,925.5,261.0,27.5,0.0,0.0,0.0,18.68498046875,73.06293268546752,1014.0711250011788,2016.0,3264.0,352.0
5,52.394918333,13.040796667,58.0,2022-10-25T14:38:06.000Z,3.997265338897705,4.226955890655518,4.226955890655518,27.684444427490234,31.843796730041504,31.901559829711914,31.908248901367188,31.91275978088379,7.0,8.0,10.0,1158.0,370.0,40.0,2.0,2.0,1.0,4.0,5.0,5.0,978.0,270.5,34.0,0.0,0.0,0.0,18.588203125,72.67029644628937,1014.0795150819649,2080.0,3136.0,416.0
6,52.394915,13.040798333,57.1,2022-10-25T14:38:09.000Z,3.974300742149353,4.202671766281128,4.202671766281128,27.525395393371582,31.66085147857666,31.718283653259277,31.72493267059326,31.72941780090332,7.0,8.0,9.5,1161.0,368.0,36.5,2.0,2.0,1.0,5.0,6.0,6.0,972.0,259.5,30.0,0.0,0.0,0.0,18.57228515625,72.30145961900311,1014.0759492306095,2176.0,3040.0,352.0
7,52.394915,13.040798333,57.1,2022-10-25T14:38:09.000Z,4.015184998512268,4.24590539932251,4.24590539932251,27.80855369567871,31.986552238464355,32.04457378387451,32.051292419433594,32.055824279785156,7.0,8.0,9.0,1164.0,366.0,33.0,2.0,2.0,1.0,4.5,5.5,5.5,958.5,255.0,30.0,0.0,0.0,0.0,18.582050781249997,71.98808224890018,1014.0685532927437,2208.0,3232.0,320.0
8,52.394915,13.040798333,58.8,2022-10-25T14:38:16.000Z,4.110053062438965,4.346224784851074,4.346224784851074,28.465596199035645,32.7423095703125,32.80170249938965,32.80858039855957,32.81321907043457,7.0,8.0,9.0,1170.0,366.0,33.0,2.0,2.0,1.0,4.0,5.0,5.0,961.5,262.0,44.0,0.0,0.0,0.0,18.59943359375,71.67296580491312,1014.0736908886174,1888.0,2688.0,352.0
9,52.394915,13.040798333,58.8,2022-10-25T14:38:20.000Z,4.130492448806763,4.367838382720947,4.367838382720947,28.607154846191406,32.90513610839844,32.96482467651367,32.97173500061035,32.97639846801758,7.5,8.0,9.5,1198.5,374.5,35.0,2.0,2.0,1.0,4.0,5.0,5.5,984.0,258.5,43.0,1.0,1.0,0.0,18.62423828125,71.44722251289342,1014.0776300729376,1344.0,2112.0,384.0
10,52.394915,13.040798333,58.8,2022-10-25T14:38:23.000Z,4.106988906860352,4.342984199523926,4.342984199523926,28.444372177124023,32.7178955078125,32.77724838256836,32.78411674499512,32.78875160217285,8.0,8.0,10.0,1227.0,383.0,37.0,2.0,2.0,1.0,4.0,4.5,5.5,1005.0,263.5,30.5,2.0,2.0,0.0,18.64328125,71.17019426757355,1014.0695717895728,864.0,1120.0,384.0
11,52.394915,13.040798333,58.8,2022-10-25T14:38:27.000Z,4.077886581420898,4.312209844589233,4.312209844589233,28.24281406402588,32.48605728149414,32.54498481750488,32.55180740356445,32.55640983581543,7.0,8.0,10.0,1203.0,377.0,39.0,2.0,2.0,1.0,5.0,5.5,6.5,981.0,266.5,27.5,2.0,2.0,0.0,18.6766796875,71.5804478658579,1014.0666913925467,800.0,992.0,192.0
12,52.394915,13.040798333,58.8,2022-10-25T14:38:30.000Z,4.0574424266815186,4.290590763092041,4.290590763092041,28.101221084594727,32.32318878173828,32.3818244934082,32.38861083984375,32.393192291259766,7.5,8.5,10.0,1234.5,389.5,40.0,2.5,2.0,1.0,4.0,4.5,5.5,999.0,275.5,29.0,2.0,2.0,0.0,18.710859375,71.5791039271774,1014.0583852341379,864.0,1344.0,384.0
13,52.394915,13.040798333,58.8,2022-10-25T14:38:30.000Z,4.133752107620239,4.371285438537598,4.371285438537598,28.629730224609375,32.93110275268555,32.9908390045166,32.99775505065918,33.00242042541504,8.0,9.0,10.0,1266.0,402.0,41.0,3.0,2.0,1.0,4.0,5.0,6.0,988.5,279.0,22.0,2.0,2.0,0.0,18.7454296875,71.5541776134332,1014.0649666124166,864.0,1152.0,320.0
14,52.394915,13.040798333,58.8,2022-10-25T14:38:37.000Z,4.0793445110321045,4.313751459121704,4.313751459121704,28.252910614013672,32.4976692199707,32.55661964416504,32.56344413757324,32.56804847717285,7.0,9.0,10.0,1251.0,396.0,39.0,3.0,1.0,0.0,4.0,5.0,5.5,915.0,261.5,23.0,1.0,1.0,0.0,18.7762890625,71.50502650398684,1014.0721448047914,800.0,1024.0,352.0
15,52.394915,13.040798333,58.8,2022-10-25T14:38:41.000Z,3.994248628616333,4.22376561164856,4.22376561164856,27.66355037689209,31.81976318359375,31.877483367919922,31.88416576385498,31.888673782348633,7.0,9.0,10.0,1252.5,396.0,38.0,3.0,1.0,0.0,4.0,5.0,5.0,885.0,262.5,35.5,0.0,0.0,0.0,18.79435546875,71.39646537008721,1014.0742020063742,832.0,1184.0,352.0
16,52.394915,13.040798333,58.8,2022-10-25T14:38:44.000Z,3.815526008605957,4.034773230552673,4.034773230552673,26.42574405670166,30.395987510681152,30.451126098632812,30.45750904083252,30.461814880371094,7.0,9.0,10.0,1254.0,396.0,37.0,3.0,1.0,0.0,6.0,6.0,6.0,976.5,280.5,36.5,0.0,0.0,0.0,18.80236328125,71.29648903912889,1014.0764774328765,832.0,1152.0,384.0
17,52.394915,13.040798333,58.8,2022-10-25T14:38:48.000Z,3.6852798461914062,3.897043228149414,3.897043228149414,25.523680686950684,29.358396530151367,29.41165256500244,29.417818069458008,29.421977996826172,7.0,9.0,10.0,1263.0,399.0,45.0,3.0,1.0,0.0,5.5,6.0,7.0,1041.0,294.0,35.0,1.0,1.0,1.0,18.80529296875,71.17214850417187,1014.0754286380217,864.0,1152.0,320.0
18,52.394915,13.040798333,58.8,2022-10-25T14:38:48.000Z,3.72435986995697,3.938368797302246,3.938368797302246,25.79434299468994,29.66972255706787,29.723543167114258,29.729774475097656,29.73397731781006,7.5,9.5,10.5,1294.5,409.0,47.0,3.0,1.0,0.0,5.5,6.0,8.5,1101.0,304.0,40.0,4.0,4.0,2.0,18.8075390625,71.024175529508,1014.0791237708665,800.0,1024.0,288.0
19,52.394915,13.040798333,58.8,2022-10-25T14:38:54.000Z,3.8030587434768677,4.021589994430542,4.021589994430542,26.339399337768555,30.296669960021973,30.3516263961792,30.357990264892578,30.362281799316406,8.0,10.0,11.0,1326.0,419.0,49.0,3.0,1.0,0.0,5.5,6.5,9.5,1137.0,317.5,40.0,4.0,4.0,2.0,18.806171874999997,70.93635903258202,1014.086934951642,800.0,1184.0,320.0
