LogID,lat,lon,alt,time
52,52.39195,13.037285,25.5,2023-01-20T15:25:55.000Z
53,52.39194,13.03726,25.2,2023-01-20T15:25:56.000Z
54,52.39194,13.03726,25.2,2023-01-20T15:25:56.000Z
55,52.39187,13.037238333,24.9,2023-01-20T15:26:01.000Z
56,52.391843333,13.037246667,24.1,2023-01-20T15:26:03.000Z
57,52.391831667,13.037261667,24.2,2023-01-20T15:26:04.000Z
58,52.3918,13.037266667,22.9,2023-01-20T15:26:07.000Z
59,52.391766667,13.03727,21.9,2023-01-20T15:26:09.000Z
60,52.39173,13.037283333,23.1,2023-01-20T15:26:11.000Z
61,52.391695,13.037296667,24.7,2023-01-20T15:26:13.000Z
62,52.391665,13.037315,26.6,2023-01-20T15:26:15.000Z
63,52.391645,13.037321667,25.9,2023-01-20T15:26:17.000Z
64,52.39161,13.037363333,27.3,2023-01-20T15:26:19.000Z
65,52.39159,13.037365,26.6,2023-01-20T15:26:21.000Z
66,52.39157,13.037343333,26.8,2023-01-20T15:26:23.000Z
67,52.39157,13.037343333,26.8,2023-01-20T15:26:23.000Z
68,52.391535,13.037343333,29.7,2023-01-20T15:26:27.000Z
69,52.391505,13.037348333,29.5,2023-01-20T15:26:29.000Z
70,52.391505,13.037348333,29.5,2023-01-20T15:26:29.000Z
71,52.391448333,13.037353333,31.1,2023-01-20T15:26:34.000Z
72,52.39144,13.037353333,29.2,2023-01-20T15:26:36.000Z
73,52.39144,13.037353333,29.2,2023-01-20T15:26:36.000Z
74,52.391395,13.037366667,29.0,2023-01-20T15:26:40.000Z
75,52.391375,13.037378333,29.4,2023-01-20T15:26:42.000Z
76,52.391356667,13.037386667,29.6,2023-01-20T15:26:43.000Z
77,52.39132,13.037388333,29.6,2023-01-20T15:26:46.000Z
78,52.391285,13.037401667,28.5,2023-01-20T15:26:48.000Z
79,52.391263333,13.037398333,27.9,2023-01-20T15:26:50.000Z
80,52.39124,13.037418333,27.4,2023-01-20T15:26:52.000Z
81,52.391208333,13.037421667,28.0,2023-01-20T15:26:54.000Z
82,52.391185,13.037421667,27.0,2023-01-20T15:26:56.000Z
83,52.391185,13.037421667,27.0,2023-01-20T15:26:56.000Z
84,52.39114,13.037445,24.0,2023-01-20T15:27:00.000Z
85,52.391125,13.037441667,22.5,2023-01-20T15:27:02.000Z
86,52.391125,13.037441667,22.5,2023-01-20T15:27:02.000Z
87,52.391083333,13.037443333,22.9,2023-01-20T15:27:06.000Z
88,52.391058333,13.037441667,23.3,2023-01-20T15:27:08.000Z
89,52.391058333,13.037441667,23.3,2023-01-20T15:27:08.000Z
90,52.391005,13.037448333,24.2,2023-01-20T15:27:13.000Z
91,52.390986667,13.037456667,25.1,2023-01-20T15:27:15.000Z
92,52.390986667,13.037456667,25.1,2023-01-20T15:27:15.000Z
93,52.390943333,13.037468333,25.3,2023-01-20T15:27:19.000Z
94,52.390921667,13.03748,25.9,2023-01-20T15:27:21.000Z
95,52.390901667,13.037491667,26.3,2023-01-20T15:27:23.000Z
96,52.390885,13.037496667,26.7,2023-01-20T15:27:25.000Z
97,52.390865,13.037508333,27.8,2023-01-20T15:27:27.000Z
98,52.390841667,13.037516667,28.1,2023-01-20T15:27:29.000Z
99,52.390811667,13.037516667,27.5,2023-01-20T15:27:31.000Z
100,52.390793333,13.037521667,29.9,2023-01-20T15:27:33.000Z
101,52.390771667,13.037526667,29.4,2023-01-20T15:27:35.000Z
102,52.390771667,13.037526667,29.4,2023-01-20T15:27:35.000Z
103,52.390725,13.037548333,28.5,2023-01-20T15:27:39.000Z
104,52.390711667,13.037568333,26.6,2023-01-20T15:27:41.000Z
105,52.390711667,13.037568333,26.6,2023-01-20T15:27:41.000Z
106,52.390673333,13.037635,28.4,2023-01-20T15:27:46.000Z
107,52.390643333,13.037658333,28.7,2023-01-20T15:27:48.000Z
108,52.390643333,13.037658333,28.7,2023-01-20T15:27:48.000Z
109,52.390613333,13.037705,29.2,2023-01-20T15:27:52.000Z
110,52.390598333,13.037731667,31.5,2023-01-20T15:27:54.000Z
111,52.39059,13.03775,33.1,2023-01-20T15:27:55.000Z
112,52.390563333,13.037803333,36.8,2023-01-20T15:27:58.000Z
113,52.390531667,13.037808333,34.0,2023-01-20T15:28:00.000Z
114,52.390515,13.037813333,35.1,2023-01-20T15:28:02.000Z
115,52.390486667,13.037823333,35.5,2023-01-20T15:28:04.000Z
116,52.390466667,13.037825,32.9,2023-01-20T15:28:06.000Z
117,52.390438333,13.037836667,30.0,2023-01-20T15:28:08.000Z
118,52.390401667,13.03783,28.3,2023-01-20T15:28:10.000Z
119,52.39038,13.037845,29.1,2023-01-20T15:28:12.000Z
120,52.390356667,13.037848333,30.0,2023-01-20T15:28:14.000Z
121,52.390356667,13.037848333,30.0,2023-01-20T15:28:14.000Z
122,52.39029,13.037851667,26.9,2023-01-20T15:28:18.000Z
123,52.390261667,13.037856667,27.6,2023-01-20T15:28:20.000Z
124,52.390261667,13.037856667,27.6,2023-01-20T15:28:20.000Z
125,52.390198333,13.037868333,24.7,2023-01-20T15:28:25.000Z
126,52.390186667,13.03787,24.8,2023-01-20T15:28:26.000Z
127,52.390186667,13.03787,24.8,2023-01-20T15:28:26.000Z
