LogID,lat,lon,alt,time
0,n/a,n/a,n/a,n/a
1,n/a,n/a,n/a,n/a
2,52.410066667,13.029226667,55.5,2023-01-03T13:59:43.000Z
3,52.410066667,13.029226667,55.5,2023-01-03T13:59:44.000Z
4,52.410066667,13.029226667,55.5,2023-01-03T13:59:45.000Z
5,52.410066667,13.029226667,55.5,2023-01-03T13:59:46.000Z
6,52.410066667,13.029226667,55.5,2023-01-03T13:59:46.000Z
7,52.410066667,13.029226667,55.5,2023-01-03T13:59:48.000Z
8,52.410066667,13.029226667,55.5,2023-01-03T13:59:48.000Z
9,52.410066667,13.029226667,55.5,2023-01-03T13:59:49.000Z
10,52.410066667,13.029226667,55.5,2023-01-03T13:59:50.000Z
11,52.410066667,13.029226667,55.5,2023-01-03T13:59:50.000Z
12,52.410066667,13.029226667,55.5,2023-01-03T13:59:51.000Z
13,52.410066667,13.029226667,55.5,2023-01-03T13:59:52.000Z
14,52.410066667,13.029226667,55.5,2023-01-03T13:59:52.000Z
15,52.410066667,13.029226667,55.5,2023-01-03T13:59:52.000Z
16,52.410066667,13.029226667,55.5,2023-01-03T13:59:54.000Z
17,52.410066667,13.029226667,55.5,2023-01-03T13:59:54.000Z
18,52.410066667,13.029226667,55.5,2023-01-03T13:59:55.000Z
19,52.410066667,13.029226667,55.5,2023-01-03T13:59:56.000Z
20,52.410066667,13.029226667,55.5,2023-01-03T13:59:56.000Z
21,52.410066667,13.029226667,55.5,2023-01-03T13:59:57.000Z
22,52.410066667,13.029226667,55.5,2023-01-03T13:59:58.000Z
23,52.410066667,13.029226667,55.5,2023-01-03T13:59:58.000Z
